dataset,catalog_entity_id,source_dataset,source_record_id,source_snapshot_date,match_method,match_basis,linked_ispb,linked_cnpj,linked_name,source_registry_id,source_file_url,source_publication_date,catalog_snapshot_date,schema_version
catalog_crosswalk,ispb:01604998,spi_participants,spi:01604998,2026-04-13,exact_ispb,ispb=01604998,01604998,01604998000104,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01608685,spi_participants,spi:01608685,2026-04-13,exact_ispb,ispb=01608685,01608685,01608685000116,COOPERATIVA DE CRéDITO DE LIVRE ADMISSãO DO ESTADO DO ACRE LTDA.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01609345,spi_participants,spi:01609345,2026-04-13,exact_ispb,ispb=01609345,01609345,01609345000100,COOPERATIVA DE CRÉDITO CREDICAMPINA LTDA. - SICOOB CREDICAMPINA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01635462,spi_participants,spi:01635462,2026-04-13,exact_ispb,ispb=01635462,01635462,01635462000148,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PREMIUM CAPITAL - UNICRED PREMIUM CAPITAL,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01637949,spi_participants,spi:01637949,2026-04-13,exact_ispb,ispb=01637949,01637949,01637949000160,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAPANEMA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01644264,spi_participants,spi:01644264,2026-04-13,exact_ispb,ispb=01644264,01644264,01644264000140,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA, CIRCUITO DO OURO, GRANDE BH E RIO GRANDE DO NORTE LTDA. -  SICOOB CREDIMEPI",bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01648418,spi_participants,spi:01648418,2026-04-13,exact_ispb,ispb=01648418,01648418,01648418000172,NSTECH IP INSTITUICAO DE PAGAMENTO S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01657678,spi_participants,spi:01657678,2026-04-13,exact_ispb,ispb=01657678,01657678,01657678000104,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE SÃO SEBASTIÃO DO PARAÍSO LTDA. - SICOOB PARAÍSOCRED,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01658426,spi_participants,spi:01658426,2026-04-13,exact_ispb,ispb=01658426,01658426,01658426000108,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01667352,spi_participants,spi:01667352,2026-04-13,exact_ispb,ispb=01667352,01667352,01667352000168,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB CREDMISSÃO LTDA. - SICOOB CREDMISSÃO,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
